iter	Passed	Remaining
0	47	47684
1	48	24221
2	49	16470
3	50	12683
4	52	10444
5	53	8883
6	54	7797
7	55	6914
8	56	6230
9	57	5671
10	58	5225
11	61	5028
12	63	4858
13	65	4589
14	65	4332
15	67	4122
16	67	3928
17	68	3762
18	69	3603
19	70	3454
20	71	3321
21	72	3204
22	73	3108
23	78	3192
24	79	3093
25	80	2999
26	81	2920
27	81	2843
28	83	2791
29	84	2719
30	85	2659
31	85	2600
32	86	2540
33	87	2483
34	88	2429
35	91	2439
36	92	2404
37	93	2379
38	95	2350
39	96	2315
40	97	2276
41	98	2245
42	99	2211
43	100	2175
44	101	2143
45	101	2108
46	102	2077
47	103	2046
48	105	2048
49	110	2102
50	111	2080
51	112	2057
52	113	2030
53	114	2006
54	115	1982
55	116	1957
56	117	1937
57	117	1915
58	118	1892
59	120	1881
60	124	1910
61	124	1888
62	125	1867
63	126	1851
64	127	1831
65	128	1815
66	129	1796
67	129	1778
68	130	1760
69	131	1743
70	131	1726
71	132	1709
72	133	1694
73	134	1686
74	136	1680
75	137	1676
76	139	1669
77	142	1679
78	142	1665
79	143	1651
80	144	1637
81	145	1624
82	145	1606
83	146	1596
84	147	1583
85	147	1571
86	150	1577
87	151	1568
88	152	1564
89	153	1556
90	154	1544
91	155	1536
92	156	1527
93	157	1517
94	158	1509
95	159	1500
96	160	1489
97	160	1479
98	161	1469
99	162	1458
100	162	1449
101	163	1439
102	165	1443
103	166	1435
104	169	1440
105	169	1432
106	170	1423
107	171	1415
108	172	1406
109	172	1398
110	173	1390
111	175	1392
112	176	1384
113	177	1377
114	177	1369
115	178	1361
116	180	1360
117	182	1365
118	183	1361
119	184	1354
120	187	1361
121	188	1354
122	190	1355
123	191	1355
124	192	1348
125	194	1347
126	195	1341
127	196	1335
128	197	1330
129	197	1323
130	198	1317
131	199	1310
132	200	1303
133	200	1297
134	212	1359
135	215	1367
136	217	1368
137	218	1362
138	218	1355
139	223	1373
140	227	1388
141	229	1386
142	230	1381
143	231	1374
144	235	1389
145	236	1384
146	241	1400
147	242	1397
148	247	1410
149	247	1403
150	248	1397
151	249	1390
152	249	1383
153	250	1377
154	251	1370
155	252	1364
156	252	1358
157	253	1352
158	254	1345
159	255	1339
160	255	1333
161	257	1332
162	259	1331
163	260	1328
164	261	1324
165	262	1318
166	263	1312
167	263	1306
168	264	1300
169	265	1294
170	265	1289
171	266	1283
172	267	1278
173	268	1273
174	268	1268
175	269	1262
176	270	1258
177	272	1258
178	273	1256
179	275	1253
180	275	1248
181	276	1244
182	278	1242
183	279	1237
184	279	1232
185	280	1229
186	281	1225
187	282	1220
188	283	1215
189	284	1210
190	284	1206
191	286	1206
192	287	1202
193	288	1200
194	290	1197
195	291	1193
196	291	1189
197	292	1184
198	293	1180
199	293	1175
200	294	1172
201	295	1168
202	296	1165
203	297	1161
204	298	1157
205	299	1152
206	301	1155
207	302	1152
208	304	1151
209	305	1147
210	305	1143
211	306	1139
212	307	1136
213	308	1132
214	309	1128
215	309	1125
216	310	1121
217	311	1117
218	312	1114
219	313	1111
220	314	1108
221	317	1112
222	319	1113
223	320	1110
224	321	1107
225	322	1104
226	323	1100
227	324	1097
228	324	1093
229	325	1090
230	326	1086
231	326	1082
232	327	1078
233	328	1075
234	329	1071
235	329	1067
236	332	1069
237	333	1066
238	334	1065
239	335	1061
240	336	1058
241	336	1055
242	337	1051
243	338	1048
244	339	1045
245	339	1042
246	341	1039
247	341	1036
248	342	1034
249	343	1030
250	344	1027
251	345	1024
252	346	1024
253	347	1020
254	348	1018
255	349	1016
256	350	1013
257	351	1011
258	352	1007
259	353	1004
260	354	1002
261	354	999
262	355	996
263	356	993
264	357	990
265	357	986
266	358	983
267	359	980
268	361	982
269	362	979
270	364	979
271	365	977
272	366	975
273	367	972
274	367	969
275	368	966
276	369	964
277	370	961
278	371	959
279	372	956
280	372	953
281	373	950
282	374	948
283	376	949
284	377	946
285	378	945
286	379	943
